codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0238,Rio Cautário Federal Extractive Reserve,2015-07-01,2019-06-20,2016-09-15
0000.00.0239,Rio Jutaí Extractive Reserve,2015-07-01,2019-06-20,2016-10-21
0000.00.0240,Extremo Norte do Tocantins Extractive Reserve,2015-07-01,2019-06-20,2016-08-31
0000.00.0242,Lago do Capanã Grande Extractive Reserve,2015-07-01,2019-06-20,2016-08-29
0000.00.0243,Mãe Grande de Curuçá Extractive Reserve,2015-07-01,2019-06-20,2016-09-11
0000.00.0244,Mapuá Extractive Reserve,2015-07-01,2019-06-20,2016-06-30
0000.00.0245,Baía do Iguape Marine Extractive Reserve,2015-07-01,2019-06-20,2016-07-24
0000.00.0246,Lagoa do Jequiá Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-12
0000.00.0247,Araí-Peroba Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-12
0000.00.0248,Caeté-Taperaçu Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-12
0000.00.0249,Gurupi-Piriá Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-12
0000.00.0250,Tracuateua Marine Extractive Reserve,2015-07-01,2019-06-20,2016-06-04
0000.00.0251,Arraial do Cabo Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-13
0000.00.0252,Corumbau Marine Extractive Reserve,2015-07-01,2019-06-20,2016-06-06
0000.00.0253,Canavieiras Extractive Reserve,2015-07-01,2019-06-20,2016-09-14
0000.00.0254,Soure Marine Extractive Reserve,2015-07-01,2019-06-20,2016-06-29
0000.00.0255,Pirajubaé Marine Extractive Reserve,2015-07-01,2019-06-20,2016-06-04
0000.00.0256,Rio Ouro Preto Extractive Reserve,2015-07-01,2019-06-20,2016-07-31
0000.00.0259,Tapajós-Arapiuns Extractive Reserve,2015-07-01,2019-06-20,2016-09-13
0000.00.0260,Verde para Sempre Extractive Reserve,2015-07-01,2019-06-20,2016-06-06
0000.00.0261,Mata Preta Ecological Station,2015-07-01,2019-06-20,2016-07-18
0000.00.0262,Araucárias National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0263,Guanabara Ecological Station,2015-07-01,2019-06-20,2016-10-05
0000.00.0264,Rio Novo National Park,2015-07-01,2019-06-20,2016-05-27
0000.00.0265,Trairão National Forest,2015-07-01,2019-06-20,2016-05-19
0000.00.0266,Jamanxim National Forest,2015-07-01,2019-06-20,2016-05-30
0000.00.0267,Jamanxim National Park,2015-07-01,2019-06-20,2016-05-19
0000.00.0268,Tapajós Environmental Protection Area,2015-07-01,2019-06-20,2017-02-11
0000.00.0270,Crepori National Forest,2015-07-01,2019-06-20,2017-02-14
0000.00.0271,Amaná National Forest,2015-07-01,2019-06-20,2016-05-30
0000.00.0272,Chapada das Mesas National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0274,Alto Tarauacá Extractive Reserve,2015-07-01,2019-06-20,2016-08-08
0000.00.0275,Perobas Biological Reserve,2015-07-01,2019-06-20,2010-02-27
0000.00.0276,Araucárias Biological Reserve,2015-07-01,2019-06-20,2016-04-19
0000.00.0277,Campos Gerais National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0281,Juruena National Park,2015-07-01,2019-06-20,2011-06-12
0000.00.0282,Terra Grande-Pracuúba Extractive Reserve,2015-07-01,2019-06-20,2016-06-29
0000.00.0283,Rio Unini Extractive Reserve,2015-07-01,2019-06-20,2016-09-14
0000.00.0284,Campos Amazônicos National Park,2015-07-01,2019-06-20,2016-06-03
0000.00.0285,Arapixi Extractive Reserve,2015-07-01,2019-06-20,2016-09-09
0000.00.1078,Rio das Furnas Private Natural Heritage Reserve,2015-07-01,2019-06-20,2017-03-14
0000.00.1102,Rio das Lontras Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-18
0000.00.1137,Mata da Estrela Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-18
0000.00.1197,Cantidiano Valqueiro Barros Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-11-03
0000.00.1203,Maurício Dantas Private Natural Heritage Ecological Reserve,2015-07-01,2019-06-20,2016-11-03
0000.00.1206,Engenho Gargaú Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-17
0000.00.1211,Fazenda Pacatuba Private Natural Heritage Reserve,2015-07-01,2019-06-20,2017-03-14
0000.00.1254,Feliciano Miguel Abdala Private Natural Heritage Reserve,2015-07-01,2019-06-20,2016-05-09
