cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.17.1486,9.991040661612681,0,1451,154.57822191592007,0,1451,Parque,Estadual
0000.17.1487,3.473520249221184,0,963,9.8407994486561,0,1451,Parque,Estadual
0000.17.1488,0.8951382268827455,0,1049,2.7490458015267176,0,1048,Parque,Estadual
0000.17.1489,0.49517966695880805,0,1141,1.9355531686358753,0,931,Monumento Natural,Estadual
0000.17.1501,0.4787123572170301,0,963,1.4158620689655173,1,1451,Área de Proteção Ambiental,Estadual
0000.21.1882,0.8365019011406845,0,1052,2.9786354238456236,0,1451,Parque,Estadual
0000.21.1886,1.3691722169362512,1,1052,13.281874569262577,0,1451,Parque,Estadual
0000.21.1887,1.199456029011786,0,1103,1.741025641025641,1,391,Área de Proteção Ambiental,Estadual
0000.21.1888,0.8642691415313225,0,862,1.258312020460358,0,391,Área de Proteção Ambiental,Estadual
0000.21.1891,0.8805309734513275,0,1130,2.954198473282443,1,394,Estação Ecológica,Estadual
0000.21.1963,0.6774500475737393,0,1051,4.0137931034482754,1,1451,Parque,Estadual
0000.23.0947,1.402139037433155,0,935,3.4100620261888355,0,1451,Parque,Estadual
0000.23.0960,0.8712255772646537,0,1126,5.059958649207443,0,1451,Monumento Natural,Estadual
0000.23.0961,0.7738825591586328,0,1141,2.9641626464507236,0,1451,Monumento Natural,Estadual
0000.23.0963,3.7539627842866987,0,1451,21.23776705720193,0,1451,Parque,Estadual
0000.24.1475,2.549276361130255,0,1451,33.44521019986217,0,1451,Parque,Estadual
0000.25.0483,0.9375,1,913,13.755341144038594,0,1451,Parque,Estadual
0000.25.0484,0.7508379888268156,0,895,4.653342522398346,0,1451,Parque,Estadual
0000.25.0904,3.160352422907489,0,1135,20.352860096485184,0,1451,Monumento Natural,Estadual
0000.25.2309,1.2939217318900915,1,1202,2.511894273127753,0,1135,Área de Proteção Ambiental,Estadual
0000.25.2331,0.7137745974955277,1,1119,3.9710544452102,0,1451,Estação Ecológica,Estadual
0000.25.2336,0.7497194163860831,0,891,3.6822880771881463,0,1451,Parque,Estadual
0000.26.0966,1.332184700206754,0,1451,21.719503790489316,0,1451,Parque,Estadual
0000.29.0296,1.2485811577752555,0,881,1.6547208821502413,0,1451,Parque,Estadual
0000.29.0297,0.3599114064230343,1,904,2.640937284631289,0,1451,Parque,Estadual
0000.29.0325,0.9710743801652892,0,968,2.1744827586206896,1,1451,Parque,Estadual
0000.31.0360,3.3418332184700206,0,1451,10.158511371467954,0,1451,Monumento Natural,Estadual
0000.31.0368,1.4228260869565217,1,921,10.980013783597519,0,1451,Parque,Estadual
0000.31.0388,1.4019292604501608,0,933,1.428669882839421,0,1451,Parque,Estadual
0000.31.0393,0.5254813137032842,1,884,3.458304617505169,0,1451,Parque,Estadual
0000.31.0394,1.591907514450867,0,865,26.78497587870434,0,1451,Parque,Estadual
0000.31.0398,2.0349887133182842,0,886,24.97381116471399,0,1451,Parque,Estadual
0000.31.0406,0.9257028112449799,0,996,7.514128187456926,0,1451,Parque,Estadual
0000.31.0890,0.7932584269662921,0,890,3.6161268090971745,0,1451,Parque,Estadual
0000.32.0331,0.562564632885212,0,967,3.0957960027567193,0,1451,Parque,Estadual
0000.32.0332,0.7249224405377456,1,968,9.341144038594074,0,1451,Parque,Estadual
0000.32.1533,1.0946538124452234,0,1141,21.201240523776704,0,1451,Monumento Natural,Estadual
0000.32.1534,0.587203302373581,0,969,2.027567195037905,0,1451,Parque,Estadual
0000.32.1667,0.5325077399380805,0,969,2.1467953135768436,0,1451,Reserva Biológica,Estadual
0000.32.1673,2.2563749138525155,0,1451,30.468642315644384,0,1451,Parque,Estadual
0000.32.1831,0.9803921568627451,0,969,1.9462439696760854,0,1451,Parque,Estadual
0000.32.1833,0.4607438016528926,0,968,0.7325982081323226,0,1451,Parque,Estadual
0000.33.0728,1.0206896551724138,1,1451,0.9365517241379311,1,1451,Reserva Biológica,Estadual
0000.33.1476,1.03125,0,864,4.5982081323225366,0,1451,Parque,Estadual
0000.33.1477,2.0719280719280717,0,1001,2.8545830461750517,0,1451,Parque,Estadual
0000.33.1478,5.592134831460674,0,890,32.11922811853894,0,1451,Parque,Estadual
0000.33.1479,0.8460674157303371,0,890,6.798070296347347,0,1451,Parque,Estadual
0000.33.1480,0.5531674208144797,0,884,2.6147484493452793,0,1451,Parque,Estadual
0000.33.1483,0.567847882454624,1,1158,0.6445824706694272,2,1451,Reserva Biológica,Estadual
0000.33.1485,1.8799192734611503,0,991,17.375603032391453,0,1451,Parque,Estadual
0000.33.2732,1.3404548587181255,0,1451,9.674017918676775,0,1451,Parque,Estadual
