codCnuc,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification
0000.00.1218,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ESTÂNCIA DOROCHÊ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1223,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE ECOLÓGICO JOÃO BASSO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1224,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA AMÉRICA AMAZÔNICA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1225,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DA MATA FRIA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1226,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA LOURDES FÉLIX SOARES,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1227,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA JOSÉ GIMENES SOARES,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1228,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUBRAN,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1229,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RAMA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1230,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA VERDE AMAZÔNIA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1231,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA ECOLÓGICA SESC - PANTANAL,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1232,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PACULÂNDIA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1233,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1234,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA AMÉRICA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1235,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO PI,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1236,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA FLORESTA NEGRA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1237,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MARGARIDA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1239,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA HELENA - RN,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1240,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SINGAPURA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1241,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA LAGEADO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1242,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDINHA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1243,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARARA AZUL,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1244,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CAPÃO BONITO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1245,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA SANTA INÊS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1247,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO CARAÇA,,Reserva Particular do Patrimônio Natural,Federal,,,,Q3479911,Serra do Caraça,https://pt.wikipedia.org/wiki/Serra_do_Cara%C3%A7a,18011
0000.00.1248,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RESSACA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1249,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ÁREA DE PROTEÇÃO DO RESERVATÓRIO DE JURAMENTO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1250,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA VEREDA GRANDE S/A,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1251,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL UNIDADE DE CONSERVAÇÃO DE GALHEIROS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1252,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CAETANO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1253,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CAETANO-LUGAR SANTO AGOSTINHO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1254,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FELICIANO MIGUEL ABDALA,,Reserva Particular do Patrimônio Natural,Federal,Q10359715,Feliciano Miguel Abdala Private Natural Heritage Reserve,https://en.wikipedia.org/wiki/Feliciano_Miguel_Abdala_Private_Natural_Heritage_Reserve,,,,18011
0000.00.1255,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MACEDÔNIA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1256,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MONLEVADE,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1257,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SERROTE,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1258,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1259,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO JACOB,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1262,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA FUNDAÇÃO ROCHA LOURES,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1263,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARARA VERMELHA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1264,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CRUZEIRO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1265,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOM JARDIM,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1266,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DA CALIFÓRNIA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
